skill_count,matched_role_skills,ats_score,jd_similarity,experience_years,action_verbs,achievements,pages,section_score,shortlisted
9,2,98.5,0.21,1.5,0,2,1,0.292,0
22,19,35.2,0.671,7.9,18,4,3,0.583,1
17,11,83.4,0.211,0.9,11,4,1,0.852,1
13,6,92.6,0.163,1.7,7,4,3,0.654,0
10,10,95.5,0.918,3.3,5,6,2,0.67,1
23,0,96.8,0.271,7.0,11,4,1,0.587,0
9,5,61.7,0.839,6.5,6,6,2,0.935,0
28,14,98.2,0.59,12.0,17,8,3,0.939,1
21,14,80.6,0.17,11.1,13,4,2,0.561,1
25,18,32.9,0.96,6.4,7,1,3,0.375,0
13,10,58.2,0.322,5.0,19,4,2,0.514,1
13,1,77.5,0.874,4.7,13,7,2,0.268,1
26,13,39.8,0.252,11.6,4,3,2,0.673,0
23,1,71.2,0.869,0.8,8,1,1,0.55,1
6,3,73.3,0.112,0.2,7,9,2,0.193,0
10,16,33.0,0.561,11.9,1,2,3,0.278,0
26,2,65.2,0.792,7.2,15,8,3,0.532,1
5,12,81.7,0.941,2.0,12,8,1,0.899,1
24,8,59.9,0.918,3.5,6,7,1,0.61,1
23,6,21.0,0.838,14.0,15,7,3,0.713,1
4,14,20.7,0.899,12.9,6,7,2,0.405,0
26,10,48.6,0.279,10.6,13,7,3,0.614,1
14,19,94.1,0.356,7.2,13,7,1,0.503,1
8,1,38.3,0.36,7.8,11,0,1,0.693,0
4,14,70.7,0.439,14.6,0,5,3,0.146,0
23,13,37.8,0.454,14.5,0,8,2,0.544,0
3,19,45.7,0.59,3.2,11,7,2,0.366,0
14,10,87.8,0.244,12.2,19,2,1,0.394,1
28,2,78.3,0.722,3.0,14,0,3,0.965,1
24,16,27.6,0.251,3.2,3,1,3,0.264,0
14,11,54.3,0.379,10.1,6,1,1,0.38,0
27,14,22.3,0.553,6.1,15,6,3,0.559,0
19,15,58.5,0.817,14.0,2,5,1,0.877,1
29,4,73.0,0.766,1.3,6,1,2,0.475,0
29,19,29.5,0.681,7.7,5,7,2,0.769,1
12,5,43.1,0.24,13.8,15,8,3,0.871,0
18,18,51.8,0.592,13.6,7,6,2,0.379,1
17,4,93.6,0.179,2.3,5,3,2,0.453,1
17,2,99.5,0.44,5.5,9,0,1,0.421,0
21,0,23.6,0.472,9.3,15,3,1,0.85,0
14,5,80.9,0.136,2.4,10,3,3,0.14,0
25,14,49.7,0.347,14.5,12,7,1,0.378,1
22,1,51.4,0.96,13.7,5,3,3,0.711,0
27,2,80.3,0.958,2.5,0,3,3,0.609,1
5,16,93.5,0.417,1.8,18,1,1,0.493,0
7,11,96.1,0.139,1.3,11,9,2,0.586,0
21,17,66.2,0.261,13.6,5,6,2,0.278,1
9,14,48.6,0.453,2.9,17,3,2,0.488,0
23,11,83.0,0.953,6.2,12,5,2,0.552,1
11,15,40.1,0.227,6.7,6,2,3,0.911,0
9,7,65.1,0.787,9.0,12,6,2,0.335,1
20,13,48.7,0.198,1.1,7,5,3,0.881,0
6,16,72.5,0.983,3.4,16,2,1,0.68,1
27,7,39.2,0.443,14.0,8,3,1,0.118,0
16,14,35.3,0.798,13.6,19,9,3,0.752,1
20,13,93.5,0.408,11.7,12,4,2,0.132,1
28,17,28.1,0.665,0.3,1,8,3,0.998,0
11,19,60.5,0.273,4.9,3,5,2,0.885,1
28,6,37.7,0.231,9.4,1,3,2,0.368,0
23,2,23.1,0.944,4.1,3,6,3,0.332,0
4,11,22.9,0.926,13.6,17,1,3,0.443,0
22,2,34.0,0.899,9.5,4,3,2,0.421,0
17,19,89.3,0.663,1.1,18,4,3,0.435,1
9,13,42.6,0.827,13.6,9,3,2,0.386,0
14,14,96.0,0.162,14.4,17,3,3,0.659,1
10,13,66.5,0.401,1.2,9,8,1,0.248,1
17,6,54.9,0.382,8.0,4,1,2,0.861,0
5,16,66.4,0.672,4.6,16,5,1,0.831,1
16,11,61.3,0.42,5.9,12,7,3,0.529,0
19,19,80.7,0.234,2.7,16,7,1,0.867,1
6,3,42.6,0.637,8.7,8,6,3,0.322,0
20,8,48.2,0.833,14.4,11,9,2,0.116,1
10,5,91.5,0.444,7.5,13,3,3,0.657,0
6,15,95.7,0.219,1.2,13,6,3,0.512,0
4,1,91.4,0.277,9.3,7,9,2,0.61,1
8,7,53.6,0.314,5.1,4,5,3,0.909,0
24,10,82.4,0.37,12.8,18,5,2,0.973,1
12,12,58.1,0.679,6.5,13,1,3,0.671,1
6,16,59.8,0.641,2.9,8,7,2,0.788,1
24,7,36.4,0.726,2.9,6,7,1,0.175,0
20,17,67.3,0.426,11.5,7,6,3,0.245,1
28,17,34.9,0.842,4.0,13,8,3,0.76,1
14,13,46.5,0.284,11.5,13,7,3,0.488,0
4,14,88.4,0.522,3.1,10,8,2,0.501,0
12,5,36.6,0.821,4.8,13,8,3,0.378,0
6,10,25.7,0.262,7.0,7,5,2,0.647,0
16,12,25.5,0.199,14.1,2,1,3,0.267,0
18,0,95.3,0.895,14.0,17,6,1,0.664,1
17,5,60.6,0.409,3.1,2,2,3,0.256,0
10,8,52.8,0.715,5.4,12,6,1,0.157,0
16,7,84.9,0.123,2.2,11,8,2,0.397,1
25,10,86.9,0.721,7.6,14,9,1,0.308,1
27,18,46.6,0.384,6.9,17,9,3,0.9,1
10,8,75.5,0.15,13.5,4,1,3,0.149,0
23,16,81.7,0.649,14.0,6,5,2,0.259,1
18,11,72.4,0.317,5.8,10,5,3,0.594,0
15,13,32.1,0.448,7.4,10,8,3,0.533,0
